,loss_classifier,loss_box_reg,loss_mask,loss_objectness,loss_rpn_box_reg,loss
0,"tensor(0.1812, device='cuda:0')","tensor(0.2122, device='cuda:0')","tensor(0.2867, device='cuda:0')","tensor(0.0166, device='cuda:0')","tensor(0.0195, device='cuda:0')","tensor(0.7163, device='cuda:0')"
0,"tensor(0.3824, device='cuda:0')","tensor(0.2696, device='cuda:0')","tensor(0.3438, device='cuda:0')","tensor(0.0644, device='cuda:0')","tensor(0.0266, device='cuda:0')","tensor(1.0868, device='cuda:0')"
0,"tensor(0.3343, device='cuda:0')","tensor(0.3193, device='cuda:0')","tensor(0.3276, device='cuda:0')","tensor(0.0446, device='cuda:0')","tensor(0.0428, device='cuda:0')","tensor(1.0686, device='cuda:0')"
0,"tensor(0.3697, device='cuda:0')","tensor(0.3640, device='cuda:0')","tensor(0.3046, device='cuda:0')","tensor(0.0669, device='cuda:0')","tensor(0.0745, device='cuda:0')","tensor(1.1796, device='cuda:0')"
0,"tensor(0.3313, device='cuda:0')","tensor(0.2100, device='cuda:0')","tensor(0.3667, device='cuda:0')","tensor(0.1551, device='cuda:0')","tensor(0.1046, device='cuda:0')","tensor(1.1676, device='cuda:0')"
0,"tensor(0.5384, device='cuda:0')","tensor(0.3806, device='cuda:0')","tensor(0.3669, device='cuda:0')","tensor(0.1410, device='cuda:0')","tensor(0.1148, device='cuda:0')","tensor(1.5417, device='cuda:0')"
0,"tensor(0.4122, device='cuda:0')","tensor(0.3858, device='cuda:0')","tensor(0.2943, device='cuda:0')","tensor(0.0461, device='cuda:0')","tensor(0.0702, device='cuda:0')","tensor(1.2086, device='cuda:0')"
0,"tensor(0.3510, device='cuda:0')","tensor(0.3916, device='cuda:0')","tensor(0.3147, device='cuda:0')","tensor(0.0778, device='cuda:0')","tensor(0.0568, device='cuda:0')","tensor(1.1920, device='cuda:0')"
0,"tensor(0.3638, device='cuda:0')","tensor(0.2417, device='cuda:0')","tensor(0.4556, device='cuda:0')","tensor(0.2742, device='cuda:0')","tensor(0.0826, device='cuda:0')","tensor(1.4179, device='cuda:0')"
0,"tensor(0.2886, device='cuda:0')","tensor(0.2000, device='cuda:0')","tensor(0.3318, device='cuda:0')","tensor(0.2553, device='cuda:0')","tensor(0.0757, device='cuda:0')","tensor(1.1515, device='cuda:0')"
0,"tensor(0.2774, device='cuda:0')","tensor(0.2480, device='cuda:0')","tensor(0.3179, device='cuda:0')","tensor(0.0836, device='cuda:0')","tensor(0.0497, device='cuda:0')","tensor(0.9765, device='cuda:0')"
0,"tensor(0.5071, device='cuda:0')","tensor(0.4504, device='cuda:0')","tensor(0.3253, device='cuda:0')","tensor(0.3301, device='cuda:0')","tensor(0.1221, device='cuda:0')","tensor(1.7351, device='cuda:0')"
0,"tensor(0.2285, device='cuda:0')","tensor(0.1975, device='cuda:0')","tensor(0.3204, device='cuda:0')","tensor(0.0714, device='cuda:0')","tensor(0.0317, device='cuda:0')","tensor(0.8495, device='cuda:0')"
0,"tensor(0.2523, device='cuda:0')","tensor(0.2303, device='cuda:0')","tensor(0.2899, device='cuda:0')","tensor(0.0590, device='cuda:0')","tensor(0.0964, device='cuda:0')","tensor(0.9279, device='cuda:0')"
0,"tensor(0.2605, device='cuda:0')","tensor(0.1938, device='cuda:0')","tensor(0.3628, device='cuda:0')","tensor(0.0679, device='cuda:0')","tensor(0.0202, device='cuda:0')","tensor(0.9052, device='cuda:0')"
0,"tensor(0.3910, device='cuda:0')","tensor(0.3827, device='cuda:0')","tensor(0.2404, device='cuda:0')","tensor(0.0583, device='cuda:0')","tensor(0.0521, device='cuda:0')","tensor(1.1245, device='cuda:0')"
0,"tensor(0.1918, device='cuda:0')","tensor(0.1390, device='cuda:0')","tensor(0.3293, device='cuda:0')","tensor(0.0945, device='cuda:0')","tensor(0.0526, device='cuda:0')","tensor(0.8072, device='cuda:0')"
0,"tensor(0.2497, device='cuda:0')","tensor(0.2189, device='cuda:0')","tensor(0.2875, device='cuda:0')","tensor(0.0441, device='cuda:0')","tensor(0.0368, device='cuda:0')","tensor(0.8371, device='cuda:0')"
0,"tensor(0.4093, device='cuda:0')","tensor(0.3439, device='cuda:0')","tensor(0.2903, device='cuda:0')","tensor(0.0585, device='cuda:0')","tensor(0.0743, device='cuda:0')","tensor(1.1762, device='cuda:0')"
0,"tensor(0.3580, device='cuda:0')","tensor(0.3347, device='cuda:0')","tensor(0.3022, device='cuda:0')","tensor(0.1154, device='cuda:0')","tensor(0.0737, device='cuda:0')","tensor(1.1841, device='cuda:0')"
0,"tensor(0.5107, device='cuda:0')","tensor(0.3961, device='cuda:0')","tensor(0.3090, device='cuda:0')","tensor(0.2100, device='cuda:0')","tensor(0.0965, device='cuda:0')","tensor(1.5222, device='cuda:0')"
0,"tensor(0.2379, device='cuda:0')","tensor(0.1855, device='cuda:0')","tensor(0.3651, device='cuda:0')","tensor(0.0700, device='cuda:0')","tensor(0.0305, device='cuda:0')","tensor(0.8890, device='cuda:0')"
0,"tensor(0.1447, device='cuda:0')","tensor(0.0709, device='cuda:0')","tensor(0.3883, device='cuda:0')","tensor(0.0700, device='cuda:0')","tensor(0.0040, device='cuda:0')","tensor(0.6779, device='cuda:0')"
0,"tensor(0.3109, device='cuda:0')","tensor(0.2896, device='cuda:0')","tensor(0.3048, device='cuda:0')","tensor(0.0864, device='cuda:0')","tensor(0.0646, device='cuda:0')","tensor(1.0563, device='cuda:0')"
0,"tensor(0.3479, device='cuda:0')","tensor(0.2331, device='cuda:0')","tensor(0.3393, device='cuda:0')","tensor(0.0899, device='cuda:0')","tensor(0.1004, device='cuda:0')","tensor(1.1107, device='cuda:0')"
0,"tensor(0.3475, device='cuda:0')","tensor(0.3486, device='cuda:0')","tensor(0.2555, device='cuda:0')","tensor(0.0606, device='cuda:0')","tensor(0.0589, device='cuda:0')","tensor(1.0711, device='cuda:0')"
0,"tensor(0.5607, device='cuda:0')","tensor(0.3504, device='cuda:0')","tensor(0.3654, device='cuda:0')","tensor(0.2162, device='cuda:0')","tensor(0.1245, device='cuda:0')","tensor(1.6172, device='cuda:0')"
0,"tensor(0.2847, device='cuda:0')","tensor(0.2331, device='cuda:0')","tensor(0.2734, device='cuda:0')","tensor(0.0440, device='cuda:0')","tensor(0.0262, device='cuda:0')","tensor(0.8613, device='cuda:0')"
0,"tensor(0.3887, device='cuda:0')","tensor(0.2763, device='cuda:0')","tensor(0.2765, device='cuda:0')","tensor(0.0624, device='cuda:0')","tensor(0.0919, device='cuda:0')","tensor(1.0957, device='cuda:0')"
